#aid	arr(1)/dep(2)	ready_time	air	gate	runway
931	2	66946.64	452	354	1
932	2	67033.70	452	377	1
933	1	67062.87	454	385	3
934	2	67129.24	452	325	1
935	1	67194.26	450	366	2
936	1	67257.65	450	407	2
937	1	67339.08	454	349	3
938	2	67364.56	452	314	1
939	2	67439.73	452	398	1
940	2	67525.52	452	350	1
941	2	67597.10	452	383	1
942	2	67686.51	449	275	2
943	2	67756.34	449	359	2
944	1	67824.37	450	377	2
945	2	67910.62	449	412	2
946	2	67958.62	449	282	2
947	2	68023.70	449	291	2
948	2	68104.49	449	304	2
949	2	68166.37	449	406	2
950	1	68226.49	450	321	2
951	1	68288.32	450	313	2
952	2	68316.06	449	428	2
953	1	68475.17	454	438	3
954	2	68492.14	452	307	1
955	2	68571.12	452	262	1
956	1	68578.90	454	394	3
957	1	68627.26	454	413	3
958	2	68670.14	452	281	1
959	1	68746.45	450	345	2
960	2	68810.84	452	411	1
961	1	68879.32	450	356	2
962	2	68944.59	449	406	2
963	1	69006.23	450	411	2
964	1	69080.32	450	314	2
965	2	69148.65	449	371	2
966	2	69210.77	449	337	2
967	1	69270.97	450	437	2
968	2	69334.04	452	416	1
969	1	69404.20	450	288	2
970	1	69464.58	450	429	2
971	2	69528.73	452	440	1
972	2	69593.62	449	382	2
973	2	69661.77	449	267	2
974	1	69741.71	450	285	2
975	1	69778.45	454	370	3
976	2	69858.12	449	420	2
977	1	69931.36	454	333	3
978	2	69960.25	449	431	2
979	1	70034.81	454	426	3
980	1	70095.61	454	322	3
981	2	70160.94	449	265	2
982	1	70242.88	454	408	3
983	1	70306.67	454	293	3
984	2	70390.22	452	286	1
985	1	70473.35	454	367	3
986	2	70494.68	449	339	2
987	2	70576.04	449	350	2
988	1	70639.33	450	306	2
989	1	70729.03	450	316	2
990	1	70789.84	450	297	2
991	1	70873.38	454	396	3
992	2	70897.91	452	333	1
993	1	70980.71	450	307	2
994	1	70997.88	454	431	3
995	2	71084.53	452	325	1
996	1	71150.92	450	318	2
997	2	71217.78	452	329	1
998	1	71233.52	454	371	3
999	1	71323.75	450	427	2
1000	1	71406.12	454	262	3
1001	1	71436.35	450	264	2
1002	1	71524.97	450	415	2
1003	2	71591.82	452	408	1
1004	2	71668.95	452	387	1
1005	1	71706.17	454	425	3
1006	2	71763.43	452	275	1
1007	1	71833.18	450	292	2
1008	2	71914.23	452	317	1
1009	1	72062.14	450	370	2
1010	2	72127.84	452	409	1
1011	1	72166.95	454	389	3
1012	2	72239.28	452	298	1
1013	1	72285.54	454	394	3
1014	2	72339.84	452	432	1
1015	2	72414.62	452	345	1
1016	1	72447.29	454	365	3
1017	2	72520.10	452	342	1
1018	2	72580.70	452	294	1
1019	2	72676.25	452	379	1
1020	1	72684.92	454	441	3
1021	1	72781.79	454	335	3
1022	2	72794.19	452	444	1
1023	2	72865.90	452	285	1
1024	1	72936.27	450	407	2
1025	2	73005.94	452	312	1
1026	1	73076.52	450	269	2
1027	1	73136.56	450	385	2
1028	1	73197.04	450	410	2
1029	1	73229.70	454	349	3
1030	1	73297.77	450	366	2
1031	2	73366.29	452	268	1
1032	2	73429.63	452	416	1
1033	1	73494.11	450	417	2
1034	2	73576.80	452	326	1
1035	1	73601.28	454	445	3
1036	1	73687.96	450	352	2
1037	1	73758.54	450	350	2
1038	1	73838.96	450	440	2
1039	2	73900.03	449	306	2
1040	1	73962.01	450	284	2
1041	1	74042.15	450	317	2
1042	1	74107.02	450	405	2
1043	1	74197.70	454	312	3
1044	1	74217.22	450	294	2
1045	2	74281.40	452	406	1
1046	2	74353.97	449	404	2
1047	1	74394.66	454	435	3
1048	2	74472.58	449	384	2
1049	1	74564.89	454	443	3
1050	2	74643.19	449	439	2
1051	1	74710.97	454	427	3
1052	2	74743.73	449	428	2
1053	1	74831.11	454	383	3
1054	2	74845.87	449	317	2
1055	2	74940.50	449	299	2
1056	1	75026.43	454	310	3
1057	1	75089.34	454	357	3
1058	2	75138.32	449	337	2
1059	2	75203.48	449	264	2
1060	1	75291.52	454	300	3
1061	2	75315.02	449	346	2
1062	1	75377.98	450	286	2
1063	1	75434.70	454	438	3
1064	1	75490.48	450	332	2
1065	1	75498.81	454	340	3
1066	1	75546.80	454	371	3
1067	2	75663.00	452	441	1
1068	2	75732.44	452	285	1
1069	1	75754.06	454	387	3
1070	2	75823.77	452	426	1
1071	2	75897.08	452	310	1
1072	1	75977.42	454	332	3
1073	2	76004.19	452	329	1
1074	1	76048.23	454	288	3
1075	2	76101.18	452	413	1
1076	1	76183.43	454	281	3
1077	1	76198.92	450	381	2
1078	2	76264.81	452	315	1
1079	1	76329.44	450	411	2
1080	2	76389.90	452	369	1
1081	2	76454.95	452	367	1
1082	2	76535.47	449	438	2
1083	1	76607.38	450	340	2
1084	1	76680.73	450	353	2
1085	1	76745.60	450	426	2
1086	1	76811.11	450	293	2
1087	1	76822.79	454	367	3
1088	2	76911.62	449	427	2
1089	1	76925.69	450	308	2
1090	2	77004.55	452	340	1
1091	2	77092.45	449	433	2
1092	1	77168.52	450	262	2
1093	1	77258.07	454	347	3
1094	2	77261.69	449	280	2
1095	1	77338.83	450	317	2
1096	1	77359.36	454	398	3
1097	2	77439.41	449	392	2
1098	2	77501.63	449	260	2
1099	1	77563.04	450	342	2
1100	1	77634.81	450	319	2
1101	1	77637.17	454	377	3
1102	1	77722.52	454	418	3
1103	2	77728.58	452	302	1
1104	1	77794.72	450	354	2
1105	1	77857.05	450	318	2
1106	1	77945.48	450	267	2
1107	1	77952.51	454	305	3
1108	2	78040.74	452	391	1
1109	2	78112.86	449	281	2
1110	2	78157.94	452	325	1
1111	2	78238.00	452	366	1
1112	1	78324.21	454	413	3
1113	2	78350.42	452	357	1
1114	1	78362.45	454	295	3
1115	1	78377.03	454	445	3
1116	2	78454.50	452	374	1
1117	1	78461.30	454	348	3
1118	2	78544.45	452	384	1
1119	2	78616.10	452	324	1
1120	2	78690.19	452	432	1
1121	2	78761.72	452	444	1
1122	2	78822.95	452	345	1
1123	2	78885.44	452	319	1
1124	2	78959.04	452	277	1
1125	2	79033.37	452	393	1
1126	2	79102.87	452	358	1
1127	1	79139.93	454	392	3
1128	1	79276.13	454	358	3
1129	2	79311.50	452	377	1
1130	2	79381.07	452	275	1
1131	1	79442.02	450	264	2
1132	2	79533.25	449	386	2
1133	1	79614.96	450	331	2
1134	1	79661.12	454	352	3
1135	1	79715.60	450	383	2
1136	1	79787.75	450	433	2
1137	1	79832.93	454	431	3
1138	2	79894.81	452	308	1
1139	2	79979.47	452	384	1
1140	1	79981.71	454	368	3
1141	2	80080.33	452	332	1
1142	1	80128.64	454	306	3
1143	2	80196.51	452	343	1
1144	1	80208.09	454	279	3
1145	1	80227.99	454	424	3
1146	2	80307.58	449	320	2
1147	1	80401.97	450	278	2
1148	2	80487.18	449	432	2
1149	2	80555.89	449	413	2
1150	2	80632.30	452	422	1
1151	1	80651.75	454	265	3
1152	1	80731.30	450	369	2
1153	2	80797.74	452	409	1
1154	1	80816.53	454	379	3
1155	1	80898.75	454	305	3
1156	1	80909.34	450	389	2
1157	1	80977.85	454	281	3
1158	1	81008.11	454	261	3
1159	1	81016.85	450	370	2
1160	1	81096.67	450	272	2
1161	2	81171.15	449	303	2
1162	2	81249.90	449	423	2
1163	1	81259.07	454	262	3
1164	1	81325.38	454	373	3
1165	2	81359.84	452	442	1
1166	2	81422.03	452	372	1
1167	2	81484.07	452	293	1
1168	1	81517.00	454	308	3
1169	2	81599.54	452	316	1
1170	2	81682.35	452	344	1
1171	1	81743.80	450	355	2
1172	2	81830.25	449	283	2
1173	1	81893.20	450	419	2
1174	2	81956.25	449	337	2
1175	1	82016.43	450	344	2
1176	1	82076.77	450	330	2
1177	2	82162.94	449	364	2
1178	2	82225.00	449	321	2
1179	2	82288.86	452	309	1
1180	1	82347.25	454	298	3
1181	2	82390.28	452	368	1
1182	2	82452.05	449	310	2
1183	1	82516.27	450	382	2
1184	1	82595.16	450	409	2
1185	1	82596.62	454	354	3
1186	1	82636.04	454	275	3
1187	1	82703.89	450	445	2
1188	1	82866.40	450	376	2
1189	2	82948.65	452	410	1
1190	2	83048.86	452	280	1
1191	1	83131.84	454	344	3
1192	2	83166.22	452	260	1
1193	2	83246.61	452	317	1
1194	2	83335.98	452	348	1
1195	2	83422.24	452	427	1
1196	1	83444.42	454	325	3
1197	2	83533.32	452	444	1
1198	2	83621.17	452	303	1
1199	1	83694.48	450	368	2
1200	1	83794.58	450	408	2
1201	2	83884.42	449	401	2
1202	1	83953.66	450	434	2
1203	2	84032.52	449	367	2
1204	1	84124.32	454	317	3
1205	1	84147.44	450	382	2
1206	1	84222.51	454	319	3
1207	2	84291.87	449	286	2
1208	1	84366.30	454	315	3
1209	1	84433.37	454	396	3
1210	1	84535.58	454	356	3
1211	1	84596.50	450	406	2
1212	2	84697.24	452	378	1
1213	1	84769.47	454	322	3
1214	1	84840.93	454	343	3
1215	1	84928.98	450	359	2
1216	2	85012.23	449	441	2
1217	2	85075.32	452	311	1
1218	1	85137.70	450	392	2
1219	1	85242.28	454	316	3
1220	1	85313.69	454	324	3
1221	1	85377.14	454	411	3
1222	1	85459.79	454	375	3
1223	1	85528.57	454	426	3
1224	2	85589.09	449	356	2
1225	1	85654.88	454	293	3
1226	1	85718.33	454	313	3
1227	1	85799.32	454	432	3
1228	1	85861.38	450	304	2
1229	2	85925.30	449	355	2
1230	1	86002.17	450	380	2
1231	1	86077.59	450	429	2
1232	1	86138.69	450	296	2
1233	1	86239.56	450	268	2
1234	1	86337.56	450	399	2
